pnameid nameid data-val data-valid name
0 11932 523 523 鞍山
0 11932 1096 1096 安阳
0 11932 3251 3251 安庆
0 11932 3157 3157 安康
0 11932 9399 9399 澳门
0 11932 9499 9499 阿克苏
0 11932 9539 9539 阿拉尔
0 11932 9678 9678 阿里
0 11932 9817 9817 阿坝
0 11932 10083 10083 阿拉善盟
0 11932 7468 7468 安顺
0 11932 18837 18837 阿勒泰
0 11932 836 836 安吉
0 11932 6806 6806 安岳
0 11932 1 1 北京
0 11932 424 424 保定
0 11932 801 801 包头
0 11932 944 944 滨州
0 11932 2044 2044 宝鸡
0 11932 3470 3470 蚌埠
0 11932 5845 5845 本溪
0 11932 5918 5918 白城
0 11932 2329 2329 亳州
0 11932 2390 2390 保山
0 11932 9530 9530 巴音郭楞
0 11932 9529 9529 博尔塔拉
0 11932 9811 9811 巴中
0 11932 10070 10070 巴彦淖尔市
0 11932 10179 10179 白山
0 11932 10304 10304 白银
0 11932 10513 10513 百色
0 11932 10536 10536 北海
0 11932 10564 10564 毕节
0 11932 10380 10380 白沙
0 11932 10367 10367 保亭
0 11932 726 726 博罗
0 11932 14486 14486 宝应县
0 11932 102 102 成都
0 11932 414 414 长沙
0 11932 37 37 重庆
0 11932 319 319 长春
0 11932 463 463 常州
0 11932 652 652 沧州
0 11932 872 872 常德
0 11932 5695 5695 郴州
0 11932 6700 6700 赤峰
0 11932 6760 6760 承德
0 11932 6921 6921 长治
0 11932 2393 2393 楚雄
0 11932 8582 8582 昌吉
0 11932 9344 9344 长葛
0 11932 9648 9648 昌都
0 11932 10106 10106 朝阳
0 11932 10229 10229 巢湖
0 11932 10260 10260 池州
0 11932 10266 10266 滁州
0 11932 10461 10461 潮州
0 11932 10524 10524 崇左
0 11932 10331 10331 澄迈
0 11932 5334 5334 慈溪
0 11932 834 834 长兴
0 11932 7576 7576 苍南
0 11932 5638 5638 曹县
0 11932 5936 5936 长垣
0 11932 413 413 东莞
0 11932 147 147 大连
0 11932 728 728 德州
0 11932 623 623 东营
0 11932 375 375 大庆
0 11932 3445 3445 丹东
0 11932 6964 6964 大同
0 11932 2398 2398 大理
0 11932 8398 8398 定州
0 11932 2373 2373 德阳
0 11932 9432 9432 迪庆
0 11932 9437 9437 德宏
0 11932 9799 9799 达州
0 11932 10322 10322 定西
0 11932 9878 9878 大兴安岭
0 11932 11279 11279 大丰
0 11932 10303 10303 定安
0 11932 2147 2147 东海
0 11932 615 615 东台
0 11932 835 835 德清
0 11932 648 648 丹阳
0 11932 10394 10394 儋州
0 11932 536 536 东阳
0 11932 2037 2037 鄂尔多斯
0 11932 2302 2302 恩施
0 11932 9709 9709 鄂州
0 11932 304 304 福州
0 11932 222 222 佛山
0 11932 5722 5722 抚顺
0 11932 2325 2325 阜阳
0 11932 10097 10097 阜新
0 11932 10134 10134 抚州
0 11932 10539 10539 防城港
0 11932 690 690 肥城
0 11932 3 3 广州
0 11932 2015 2015 贵阳
0 11932 1039 1039 桂林
0 11932 6770 6770 贵港
0 11932 2421 2421 固原
0 11932 2363 2363 赣州
0 11932 8706 8706 馆陶
0 11932 2381 2381 广安
0 11932 9749 9749 广元
0 11932 9764 9764 甘孜
0 11932 9936 9936 果洛
